ParentStringCompressed; AppliedRuleID; ApplicationCount; SuccessfulCount; LastUpdated
MI; 1; 37; 1; 2025/09/01 17:46:22
MI; 2; 37; 7; 2025/09/01 17:46:22
MIU; 2; 36; 0; 2025/09/01 17:46:22
M2I; 1; 36; 1; 2025/09/01 17:46:23
M2I; 2; 36; 5; 2025/09/01 17:46:22
MIUIU; 2; 35; 0; 2025/09/01 17:46:22
M4I; 1; 34; 1; 2025/09/01 17:46:23
M4I; 2; 34; 2; 2025/09/01 17:46:23
M4I; 3; 34; 1; 2025/09/01 17:46:23
M2IU; 2; 34; 0; 2025/09/01 17:46:23
MUI; 1; 31; 0; 2025/09/01 17:46:37
MUI; 2; 31; 0; 2025/09/01 17:46:37
M2IU2IU; 2; 34; 0; 2025/09/01 17:46:23
M4IU; 2; 32; 0; 2025/09/01 17:46:24
M4IU; 3; 32; 0; 2025/09/01 17:46:24
MIUIUIUIU; 2; 35; 0; 2025/09/01 17:46:22
M8I; 1; 32; 1; 2025/09/01 17:46:57
M8I; 2; 32; 0; 2025/09/01 17:46:57
M8I; 3; 32; 0; 2025/09/01 17:46:57
MIUIUIUIUIUIUIUIU; 2; 34; 0; 2025/09/01 17:46:22
M2U2I; 1; 29; 0; 2025/09/01 17:46:57
M2U2I; 2; 29; 0; 2025/09/01 17:46:57
M2U2I; 4; 29; 0; 2025/09/01 17:46:57
MUIUI; 1; 31; 0; 2025/09/01 17:46:37
MUIUI; 2; 31; 0; 2025/09/01 17:46:37
M16I; 1; 29; 0; 2025/09/01 17:47:26
M16I; 2; 29; 0; 2025/09/01 17:47:25
M16I; 3; 29; 0; 2025/09/01 17:47:25
M8IU; 2; 30; 0; 2025/09/01 17:47:31
M8IU; 3; 30; 0; 2025/09/01 17:47:31
M4IU4IU; 2; 31; 0; 2025/09/01 17:46:36
M4IU4IU; 3; 31; 0; 2025/09/01 17:46:36
MUIU; 2; 31; 0; 2025/09/01 17:46:24
M2IU2IU2IU2IU; 2; 33; 0; 2025/09/01 17:46:23
M4IU4IU4IU4IU; 2; 31; 0; 2025/09/01 17:46:36
M4IU4IU4IU4IU; 3; 31; 0; 2025/09/01 17:46:36
M2IU2IU2IU2IU2IU2IU2IU2IU; 2; 33; 0; 2025/09/01 17:46:23
MUIUIUIUI; 1; 31; 0; 2025/09/01 17:46:43
MUIUIUIUI; 2; 31; 0; 2025/09/01 17:46:43
MIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIU; 2; 34; 0; 2025/09/01 17:46:22
M2U2I2U2I; 1; 29; 0; 2025/09/01 17:46:58
M2U2I2U2I; 2; 29; 0; 2025/09/01 17:46:58
M2U2I2U2I; 4; 29; 0; 2025/09/01 17:46:58
MUI2UIU; 2; 31; 0; 2025/09/01 17:46:24
MUI2UIU; 4; 31; 0; 2025/09/01 17:46:24
M5UI; 1; 29; 0; 2025/09/01 17:47:26
M5UI; 2; 29; 0; 2025/09/01 17:47:26
M5UI; 4; 29; 0; 2025/09/01 17:47:26
M32I; 1; 29; 0; 2025/09/01 17:47:09
M32I; 2; 29; 0; 2025/09/01 17:47:09
M32I; 3; 29; 0; 2025/09/01 17:47:09
M16IU; 2; 29; 0; 2025/09/01 17:47:02
M16IU; 3; 29; 0; 2025/09/01 17:47:02
M8IU8IU; 2; 29; 0; 2025/09/01 17:47:00
M8IU8IU; 3; 29; 0; 2025/09/01 17:47:00
MUIUIU; 2; 31; 0; 2025/09/01 17:46:37
M2U2IU; 2; 29; 0; 2025/09/01 17:46:57
M2U2IU; 4; 29; 0; 2025/09/01 17:46:57
MUIUI2UIUIU; 2; 31; 0; 2025/09/01 17:46:37
MUIUI2UIUIU; 4; 31; 0; 2025/09/01 17:46:37
M8IU8IU8IU8IU; 2; 29; 0; 2025/09/01 17:47:00
M8IU8IU8IU8IU; 3; 29; 0; 2025/09/01 17:47:00
MUIUIUIUIUIUIUIUI; 1; 31; 0; 2025/09/01 17:46:48
MUIUIUIUIUIUIUIUI; 2; 31; 0; 2025/09/01 17:46:48
M2U2I2U2IU; 2; 29; 0; 2025/09/01 17:46:58
M2U2I2U2IU; 4; 29; 0; 2025/09/01 17:46:58
M5UIU; 2; 29; 0; 2025/09/01 17:47:02
M5UIU; 4; 29; 0; 2025/09/01 17:47:03
MUIUIUIUIU; 2; 31; 0; 2025/09/01 17:46:43
M2U2I3U2IU; 2; 29; 0; 2025/09/01 17:46:57
M2U2I3U2IU; 4; 29; 0; 2025/09/01 17:46:57
MU2IU; 2; 31; 0; 2025/09/01 17:46:24
M2U2I2U2I2U2I2U2I; 1; 29; 0; 2025/09/01 17:46:59
M2U2I2U2I2U2I2U2I; 2; 29; 0; 2025/09/01 17:46:59
M2U2I2U2I2U2I2U2I; 4; 29; 0; 2025/09/01 17:46:59
M16IU16IU; 2; 29; 0; 2025/09/01 17:47:04
M16IU16IU; 3; 29; 0; 2025/09/01 17:47:04
